ID	SENTENCE	BLOCK	PATTERN_TYPE	ACTUAL	ACCEPTABLE
4189	I like waiters , and in particular physicists .	13	particular-scientists	NR*	N
4190	I like physicists , and in particular scientists .	13	particular-scientists	<	N
4191	I like scientists , and in particular physicists .	13	particular-scientists	>	Y
4192	I like physicists , and in particular caretakers .	14	particular-scientists	NR	N
4193	I like caretakers , and in particular physicists .	14	particular-scientists	NR*	N
4194	I like physicists , and in particular scientists .	14	particular-scientists	<	N
4195	I like scientists , and in particular physicists .	14	particular-scientists	>	Y
4196	I like physicists , and in particular janitors .	15	particular-scientists	NR	N
4197	I like janitors , and in particular physicists .	15	particular-scientists	NR*	N
4198	I like physicists , and in particular scientists .	15	particular-scientists	<	N
4199	I like scientists , and in particular physicists .	15	particular-scientists	>	Y
4200	I study Italy , and in particular continents .	0	particular-countries-name	NR	N
4201	I study continents , and in particular Italy .	0	particular-countries-name	NR*	N
4202	I study Italy , and in particular countries .	0	particular-countries-name	<	N
4203	I study countries , and in particular Italy .	0	particular-countries-name	>	Y
4204	I study Italy , and in particular planets .	1	particular-countries-name	NR	N
4205	I study planets , and in particular Italy .	1	particular-countries-name	NR*	N
4206	I study Italy , and in particular countries .	1	particular-countries-name	<	N
4207	I study countries , and in particular Italy .	1	particular-countries-name	>	Y
4208	I study Italy , and in particular oceans .	2	particular-countries-name	NR	N
4209	I study oceans , and in particular Italy .	2	particular-countries-name	NR*	N
4210	I study Italy , and in particular countries .	2	particular-countries-name	<	N
4211	I study countries , and in particular Italy .	2	particular-countries-name	>	Y
4212	I study Italy , and in particular hemispheres .	3	particular-countries-name	NR	N
4213	I study hemispheres , and in particular Italy .	3	particular-countries-name	NR*	N
4214	I study Italy , and in particular countries .	3	particular-countries-name	<	N
4215	I study countries , and in particular Italy .	3	particular-countries-name	>	Y
4216	I study Spain , and in particular continents .	4	particular-countries-name	NR	N
4217	I study continents , and in particular Spain .	4	particular-countries-name	NR*	N
4218	I study Spain , and in particular countries .	4	particular-countries-name	<	N
4219	I study countries , and in particular Spain .	4	particular-countries-name	>	Y
4220	I study Spain , and in particular planets .	5	particular-countries-name	NR	N
4221	I study planets , and in particular Spain .	5	particular-countries-name	NR*	N
4222	I study Spain , and in particular countries .	5	particular-countries-name	<	N
4223	I study countries , and in particular Spain .	5	particular-countries-name	>	Y
4224	I study Spain , and in particular oceans .	6	particular-countries-name	NR	N
4225	I study oceans , and in particular Spain .	6	particular-countries-name	NR*	N
4226	I study Spain , and in particular countries .	6	particular-countries-name	<	N
4227	I study countries , and in particular Spain .	6	particular-countries-name	>	Y
4228	I study Spain , and in particular hemispheres .	7	particular-countries-name	NR	N
4229	I study hemispheres , and in particular Spain .	7	particular-countries-name	NR*	N
4230	I study Spain , and in particular countries .	7	particular-countries-name	<	N
4231	I study countries , and in particular Spain .	7	particular-countries-name	>	Y
4232	I study Germany , and in particular continents .	8	particular-countries-name	NR	N
4233	I study continents , and in particular Germany .	8	particular-countries-name	NR*	N
4234	I study Germany , and in particular countries .	8	particular-countries-name	<	N
4235	I study countries , and in particular Germany .	8	particular-countries-name	>	Y
4236	I study Germany , and in particular planets .	9	particular-countries-name	NR	N
4237	I study planets , and in particular Germany .	9	particular-countries-name	NR*	N
4238	I study Germany , and in particular countries .	9	particular-countries-name	<	N
4239	I study countries , and in particular Germany .	9	particular-countries-name	>	Y
4240	I study Germany , and in particular oceans .	10	particular-countries-name	NR	N
4241	I study oceans , and in particular Germany .	10	particular-countries-name	NR*	N
4242	I study Germany , and in particular countries .	10	particular-countries-name	<	N
4243	I study countries , and in particular Germany .	10	particular-countries-name	>	Y
4244	I study Germany , and in particular hemispheres .	11	particular-countries-name	NR	N
4245	I study hemispheres , and in particular Germany .	11	particular-countries-name	NR*	N
4246	I study Germany , and in particular countries .	11	particular-countries-name	<	N
4247	I study countries , and in particular Germany .	11	particular-countries-name	>	Y
4248	I study France , and in particular continents .	12	particular-countries-name	NR	N
4249	I study continents , and in particular France .	12	particular-countries-name	NR*	N
4250	I study France , and in particular countries .	12	particular-countries-name	<	N
4251	I study countries , and in particular France .	12	particular-countries-name	>	Y
4252	I study France , and in particular planets .	13	particular-countries-name	NR	N
4253	I study planets , and in particular France .	13	particular-countries-name	NR*	N
4254	I study France , and in particular countries .	13	particular-countries-name	<	N
4255	I study countries , and in particular France .	13	particular-countries-name	>	Y
4256	I study France , and in particular oceans .	14	particular-countries-name	NR	N
4257	I study oceans , and in particular France .	14	particular-countries-name	NR*	N
4258	I study France , and in particular countries .	14	particular-countries-name	<	N
4259	I study countries , and in particular France .	14	particular-countries-name	>	Y
4260	I study France , and in particular hemispheres .	15	particular-countries-name	NR	N
4261	I study hemispheres , and in particular France .	15	particular-countries-name	NR*	N
4262	I study France , and in particular countries .	15	particular-countries-name	<	N
4263	I study countries , and in particular France .	15	particular-countries-name	>	Y
4264	I like Picasso , and in particular clerks .	0	particular-painters-name	NR	N
4265	I like clerks , and in particular Picasso .	0	particular-painters-name	NR*	N
4266	I like Picasso , and in particular painters .	0	particular-painters-name	<	N
4267	I like painters , and in particular Picasso .	0	particular-painters-name	>	Y
4268	I like Picasso , and in particular waiters .	1	particular-painters-name	NR	N
4269	I like waiters , and in particular Picasso .	1	particular-painters-name	NR*	N
4270	I like Picasso , and in particular painters .	1	particular-painters-name	<	N
4271	I like painters , and in particular Picasso .	1	particular-painters-name	>	Y
4272	I like Picasso , and in particular caretakers .	2	particular-painters-name	NR	N
4273	I like caretakers , and in particular Picasso .	2	particular-painters-name	NR*	N
4274	I like Picasso , and in particular painters .	2	particular-painters-name	<	N
4275	I like painters , and in particular Picasso .	2	particular-painters-name	>	Y
4276	I like Picasso , and in particular teachers .	3	particular-painters-name	NR	N
4277	I like teachers , and in particular Picasso .	3	particular-painters-name	NR*	N
4278	I like Picasso , and in particular painters .	3	particular-painters-name	<	N
4279	I like painters , and in particular Picasso .	3	particular-painters-name	>	Y
4280	I like Rembrandt , and in particular clerks .	4	particular-painters-name	NR	N
4281	I like clerks , and in particular Rembrandt .	4	particular-painters-name	NR*	N
4282	I like Rembrandt , and in particular painters .	4	particular-painters-name	<	N
4283	I like painters , and in particular Rembrandt .	4	particular-painters-name	>	Y
4284	I like Rembrandt , and in particular waiters .	5	particular-painters-name	NR	N
4285	I like waiters , and in particular Rembrandt .	5	particular-painters-name	NR*	N
4286	I like Rembrandt , and in particular painters .	5	particular-painters-name	<	N
4287	I like painters , and in particular Rembrandt .	5	particular-painters-name	>	Y
4288	I like Rembrandt , and in particular caretakers .	6	particular-painters-name	NR	N
4289	I like caretakers , and in particular Rembrandt .	6	particular-painters-name	NR*	N
4290	I like Rembrandt , and in particular painters .	6	particular-painters-name	<	N
4291	I like painters , and in particular Rembrandt .	6	particular-painters-name	>	Y
4292	I like Rembrandt , and in particular teachers .	7	particular-painters-name	NR	N
4293	I like teachers , and in particular Rembrandt .	7	particular-painters-name	NR*	N
4294	I like Rembrandt , and in particular painters .	7	particular-painters-name	<	N
4295	I like painters , and in particular Rembrandt .	7	particular-painters-name	>	Y
4296	I like Matisse , and in particular clerks .	8	particular-painters-name	NR	N
4297	I like clerks , and in particular Matisse .	8	particular-painters-name	NR*	N
4298	I like Matisse , and in particular painters .	8	particular-painters-name	<	N
4299	I like painters , and in particular Matisse .	8	particular-painters-name	>	Y
4300	I like Matisse , and in particular waiters .	9	particular-painters-name	NR	N
4301	I like waiters , and in particular Matisse .	9	particular-painters-name	NR*	N
4302	I like Matisse , and in particular painters .	9	particular-painters-name	<	N
4303	I like painters , and in particular Matisse .	9	particular-painters-name	>	Y
4304	I like Matisse , and in particular caretakers .	10	particular-painters-name	NR	N
4305	I like caretakers , and in particular Matisse .	10	particular-painters-name	NR*	N
4306	I like Matisse , and in particular painters .	10	particular-painters-name	<	N
4307	I like painters , and in particular Matisse .	10	particular-painters-name	>	Y
4308	I like Matisse , and in particular teachers .	11	particular-painters-name	NR	N
4309	I like teachers , and in particular Matisse .	11	particular-painters-name	NR*	N
4310	I like Matisse , and in particular painters .	11	particular-painters-name	<	N
4311	I like painters , and in particular Matisse .	11	particular-painters-name	>	Y
4312	I like Caravaggio , and in particular clerks .	12	particular-painters-name	NR	N
4313	I like clerks , and in particular Caravaggio .	12	particular-painters-name	NR*	N
4314	I like Caravaggio , and in particular painters .	12	particular-painters-name	<	N
4315	I like painters , and in particular Caravaggio .	12	particular-painters-name	>	Y
4316	I like Caravaggio , and in particular waiters .	13	particular-painters-name	NR	N
4317	I like waiters , and in particular Caravaggio .	13	particular-painters-name	NR*	N
4318	I like Caravaggio , and in particular painters .	13	particular-painters-name	<	N
4319	I like painters , and in particular Caravaggio .	13	particular-painters-name	>	Y
4320	I like Caravaggio , and in particular caretakers .	14	particular-painters-name	NR	N
4321	I like caretakers , and in particular Caravaggio .	14	particular-painters-name	NR*	N
4322	I like Caravaggio , and in particular painters .	14	particular-painters-name	<	N
4323	I like painters , and in particular Caravaggio .	14	particular-painters-name	>	Y
4324	I like Caravaggio , and in particular teachers .	15	particular-painters-name	NR	N
4325	I like teachers , and in particular Caravaggio .	15	particular-painters-name	NR*	N
4326	I like Caravaggio , and in particular painters .	15	particular-painters-name	<	N
4327	I like painters , and in particular Caravaggio .	15	particular-painters-name	>	Y
4328	I like Churchill , and in particular waiters .	0	particular-politicians-name	NR	N
4329	I like waiters , and in particular Churchill .	0	particular-politicians-name	NR*	N
4330	I like Churchill , and in particular politicians .	0	particular-politicians-name	<	N
4331	I like politicians , and in particular Churchill .	0	particular-politicians-name	>	Y
4332	I like Churchill , and in particular caretakers .	1	particular-politicians-name	NR	N
4333	I like caretakers , and in particular Churchill .	1	particular-politicians-name	NR*	N
4334	I like Churchill , and in particular politicians .	1	particular-politicians-name	<	N
4335	I like politicians , and in particular Churchill .	1	particular-politicians-name	>	Y
4336	I like Churchill , and in particular drivers .	2	particular-politicians-name	NR	N
4337	I like drivers , and in particular Churchill .	2	particular-politicians-name	NR*	N
4338	I like Churchill , and in particular politicians .	2	particular-politicians-name	<	N
4339	I like politicians , and in particular Churchill .	2	particular-politicians-name	>	Y
4340	I like Churchill , and in particular farmers .	3	particular-politicians-name	NR	N
4341	I like farmers , and in particular Churchill .	3	particular-politicians-name	NR*	N
4342	I like Churchill , and in particular politicians .	3	particular-politicians-name	<	N
4343	I like politicians , and in particular Churchill .	3	particular-politicians-name	>	Y
4344	I like Obama , and in particular waiters .	4	particular-politicians-name	NR	N
4345	I like waiters , and in particular Obama .	4	particular-politicians-name	NR*	N
4346	I like Obama , and in particular politicians .	4	particular-politicians-name	<	N
4347	I like politicians , and in particular Obama .	4	particular-politicians-name	>	Y
4348	I like Obama , and in particular caretakers .	5	particular-politicians-name	NR	N
4349	I like caretakers , and in particular Obama .	5	particular-politicians-name	NR*	N
4350	I like Obama , and in particular politicians .	5	particular-politicians-name	<	N
4351	I like politicians , and in particular Obama .	5	particular-politicians-name	>	Y
4352	I like Obama , and in particular drivers .	6	particular-politicians-name	NR	N
4353	I like drivers , and in particular Obama .	6	particular-politicians-name	NR*	N
4354	I like Obama , and in particular politicians .	6	particular-politicians-name	<	N
4355	I like politicians , and in particular Obama .	6	particular-politicians-name	>	Y
4356	I like Obama , and in particular farmers .	7	particular-politicians-name	NR	N
4357	I like farmers , and in particular Obama .	7	particular-politicians-name	NR*	N
4358	I like Obama , and in particular politicians .	7	particular-politicians-name	<	N
4359	I like politicians , and in particular Obama .	7	particular-politicians-name	>	Y
4360	I like Lincoln , and in particular waiters .	8	particular-politicians-name	NR	N
4361	I like waiters , and in particular Lincoln .	8	particular-politicians-name	NR*	N
4362	I like Lincoln , and in particular politicians .	8	particular-politicians-name	<	N
4363	I like politicians , and in particular Lincoln .	8	particular-politicians-name	>	Y
4364	I like Lincoln , and in particular caretakers .	9	particular-politicians-name	NR	N
4365	I like caretakers , and in particular Lincoln .	9	particular-politicians-name	NR*	N
4366	I like Lincoln , and in particular politicians .	9	particular-politicians-name	<	N
4367	I like politicians , and in particular Lincoln .	9	particular-politicians-name	>	Y
4368	I like Lincoln , and in particular drivers .	10	particular-politicians-name	NR	N
4369	I like drivers , and in particular Lincoln .	10	particular-politicians-name	NR*	N
4370	I like Lincoln , and in particular politicians .	10	particular-politicians-name	<	N
4371	I like politicians , and in particular Lincoln .	10	particular-politicians-name	>	Y
4372	I like Lincoln , and in particular farmers .	11	particular-politicians-name	NR	N
4373	I like farmers , and in particular Lincoln .	11	particular-politicians-name	NR*	N
4374	I like Lincoln , and in particular politicians .	11	particular-politicians-name	<	N
4375	I like politicians , and in particular Lincoln .	11	particular-politicians-name	>	Y
4376	I like Merkel , and in particular waiters .	12	particular-politicians-name	NR	N
4377	I like waiters , and in particular Merkel .	12	particular-politicians-name	NR*	N
4378	I like Merkel , and in particular politicians .	12	particular-politicians-name	<	N
4379	I like politicians , and in particular Merkel .	12	particular-politicians-name	>	Y
4380	I like Merkel , and in particular caretakers .	13	particular-politicians-name	NR	N
4381	I like caretakers , and in particular Merkel .	13	particular-politicians-name	NR*	N
4382	I like Merkel , and in particular politicians .	13	particular-politicians-name	<	N
4383	I like politicians , and in particular Merkel .	13	particular-politicians-name	>	Y
4384	I like Merkel , and in particular drivers .	14	particular-politicians-name	NR	N
4385	I like drivers , and in particular Merkel .	14	particular-politicians-name	NR*	N
4386	I like Merkel , and in particular politicians .	14	particular-politicians-name	<	N
4387	I like politicians , and in particular Merkel .	14	particular-politicians-name	>	Y
4388	I like Merkel , and in particular farmers .	15	particular-politicians-name	NR	N
4389	I like farmers , and in particular Merkel .	15	particular-politicians-name	NR*	N
4390	I like Merkel , and in particular politicians .	15	particular-politicians-name	<	N
4391	I like politicians , and in particular Merkel .	15	particular-politicians-name	>	Y
4392	I like Jack Nicholson , and in particular mothers .	0	particular-actors-name	NR	N
4393	I like mothers , and in particular Jack Nicholson .	0	particular-actors-name	NR*	N
4394	I like Jack Nicholson , and in particular actors .	0	particular-actors-name	<	N
4395	I like actors , and in particular Jack Nicholson .	0	particular-actors-name	>	Y
4396	I like Jack Nicholson , and in particular girls .	1	particular-actors-name	NR	N
4397	I like girls , and in particular Jack Nicholson .	1	particular-actors-name	NR*	N
4398	I like Jack Nicholson , and in particular actors .	1	particular-actors-name	<	N
4399	I like actors , and in particular Jack Nicholson .	1	particular-actors-name	>	Y
4400	I like Jack Nicholson , and in particular women .	2	particular-actors-name	NR	N
4401	I like women , and in particular Jack Nicholson .	2	particular-actors-name	NR*	N
4402	I like Jack Nicholson , and in particular actors .	2	particular-actors-name	<	N
4403	I like actors , and in particular Jack Nicholson .	2	particular-actors-name	>	Y
4404	I like Jack Nicholson , and in particular ladies .	3	particular-actors-name	NR	N
4405	I like ladies , and in particular Jack Nicholson .	3	particular-actors-name	NR*	N
4406	I like Jack Nicholson , and in particular actors .	3	particular-actors-name	<	N
4407	I like actors , and in particular Jack Nicholson .	3	particular-actors-name	>	Y
4408	I like Morgan Freeman , and in particular mothers .	4	particular-actors-name	NR	N
4409	I like mothers , and in particular Morgan Freeman .	4	particular-actors-name	NR*	N
4410	I like Morgan Freeman , and in particular actors .	4	particular-actors-name	<	N
4411	I like actors , and in particular Morgan Freeman .	4	particular-actors-name	>	Y
4412	I like Morgan Freeman , and in particular girls .	5	particular-actors-name	NR	N
4413	I like girls , and in particular Morgan Freeman .	5	particular-actors-name	NR*	N
4414	I like Morgan Freeman , and in particular actors .	5	particular-actors-name	<	N
4415	I like actors , and in particular Morgan Freeman .	5	particular-actors-name	>	Y
4416	I like Morgan Freeman , and in particular women .	6	particular-actors-name	NR	N
4417	I like women , and in particular Morgan Freeman .	6	particular-actors-name	NR*	N
4418	I like Morgan Freeman , and in particular actors .	6	particular-actors-name	<	N
4419	I like actors , and in particular Morgan Freeman .	6	particular-actors-name	>	Y
4420	I like Morgan Freeman , and in particular ladies .	7	particular-actors-name	NR	N
4421	I like ladies , and in particular Morgan Freeman .	7	particular-actors-name	NR*	N
4422	I like Morgan Freeman , and in particular actors .	7	particular-actors-name	<	N
4423	I like actors , and in particular Morgan Freeman .	7	particular-actors-name	>	Y
4424	I like Harrison Ford , and in particular mothers .	8	particular-actors-name	NR	N
4425	I like mothers , and in particular Harrison Ford .	8	particular-actors-name	NR*	N
4426	I like Harrison Ford , and in particular actors .	8	particular-actors-name	<	N
4427	I like actors , and in particular Harrison Ford .	8	particular-actors-name	>	Y
4428	I like Harrison Ford , and in particular girls .	9	particular-actors-name	NR	N
4429	I like girls , and in particular Harrison Ford .	9	particular-actors-name	NR*	N
4430	I like Harrison Ford , and in particular actors .	9	particular-actors-name	<	N
4431	I like actors , and in particular Harrison Ford .	9	particular-actors-name	>	Y
4432	I like Harrison Ford , and in particular women .	10	particular-actors-name	NR	N
4433	I like women , and in particular Harrison Ford .	10	particular-actors-name	NR*	N
4434	I like Harrison Ford , and in particular actors .	10	particular-actors-name	<	N
4435	I like actors , and in particular Harrison Ford .	10	particular-actors-name	>	Y
4436	I like Harrison Ford , and in particular ladies .	11	particular-actors-name	NR	N
4437	I like ladies , and in particular Harrison Ford .	11	particular-actors-name	NR*	N
4438	I like Harrison Ford , and in particular actors .	11	particular-actors-name	<	N
4439	I like actors , and in particular Harrison Ford .	11	particular-actors-name	>	Y
4440	I like Sean Connery , and in particular mothers .	12	particular-actors-name	NR	N
4441	I like mothers , and in particular Sean Connery .	12	particular-actors-name	NR*	N
4442	I like Sean Connery , and in particular actors .	12	particular-actors-name	<	N
4443	I like actors , and in particular Sean Connery .	12	particular-actors-name	>	Y
4444	I like Sean Connery , and in particular girls .	13	particular-actors-name	NR	N
4445	I like girls , and in particular Sean Connery .	13	particular-actors-name	NR*	N
4446	I like Sean Connery , and in particular actors .	13	particular-actors-name	<	N
4447	I like actors , and in particular Sean Connery .	13	particular-actors-name	>	Y
4448	I like Sean Connery , and in particular women .	14	particular-actors-name	NR	N
4449	I like women , and in particular Sean Connery .	14	particular-actors-name	NR*	N
4450	I like Sean Connery , and in particular actors .	14	particular-actors-name	<	N
4451	I like actors , and in particular Sean Connery .	14	particular-actors-name	>	Y
4452	I like Sean Connery , and in particular ladies .	15	particular-actors-name	NR	N
4453	I like ladies , and in particular Sean Connery .	15	particular-actors-name	NR*	N
4454	I like Sean Connery , and in particular actors .	15	particular-actors-name	<	N
4455	I like actors , and in particular Sean Connery .	15	particular-actors-name	>	Y
4456	I like huskies , and more generally cats .	0	generally-dogs	NR	N
4457	I like cats , and more generally huskies .	0	generally-dogs	NR*	N
4458	I like huskies , and more generally dogs .	0	generally-dogs	<	Y
4459	I like dogs , and more generally huskies .	0	generally-dogs	>	N
4460	I like huskies , and more generally hamsters .	1	generally-dogs	NR	N
4461	I like hamsters , and more generally huskies .	1	generally-dogs	NR*	N
4462	I like huskies , and more generally dogs .	1	generally-dogs	<	Y
4463	I like dogs , and more generally huskies .	1	generally-dogs	>	N
4464	I like huskies , and more generally parrots .	2	generally-dogs	NR	N
4465	I like parrots , and more generally huskies .	2	generally-dogs	NR*	N
4466	I like huskies , and more generally dogs .	2	generally-dogs	<	Y
4467	I like dogs , and more generally huskies .	2	generally-dogs	>	N
4468	I like huskies , and more generally birds .	3	generally-dogs	NR	N
4469	I like birds , and more generally huskies .	3	generally-dogs	NR*	N
4470	I like huskies , and more generally dogs .	3	generally-dogs	<	Y
4471	I like dogs , and more generally huskies .	3	generally-dogs	>	N
4472	I like bobtails , and more generally cats .	4	generally-dogs	NR	N
4473	I like cats , and more generally bobtails .	4	generally-dogs	NR*	N
4474	I like bobtails , and more generally dogs .	4	generally-dogs	<	Y
4475	I like dogs , and more generally bobtails .	4	generally-dogs	>	N
4476	I like bobtails , and more generally hamsters .	5	generally-dogs	NR	N
4477	I like hamsters , and more generally bobtails .	5	generally-dogs	NR*	N
4478	I like bobtails , and more generally dogs .	5	generally-dogs	<	Y
4479	I like dogs , and more generally bobtails .	5	generally-dogs	>	N
4480	I like bobtails , and more generally parrots .	6	generally-dogs	NR	N
4481	I like parrots , and more generally bobtails .	6	generally-dogs	NR*	N
4482	I like bobtails , and more generally dogs .	6	generally-dogs	<	Y
4483	I like dogs , and more generally bobtails .	6	generally-dogs	>	N
4484	I like bobtails , and more generally birds .	7	generally-dogs	NR	N
4485	I like birds , and more generally bobtails .	7	generally-dogs	NR*	N
4486	I like bobtails , and more generally dogs .	7	generally-dogs	<	Y
4487	I like dogs , and more generally bobtails .	7	generally-dogs	>	N
4488	I like bulldogs , and more generally cats .	8	generally-dogs	NR	N
4489	I like cats , and more generally bulldogs .	8	generally-dogs	NR*	N
4490	I like bulldogs , and more generally dogs .	8	generally-dogs	<	Y
4491	I like dogs , and more generally bulldogs .	8	generally-dogs	>	N
4492	I like bulldogs , and more generally hamsters .	9	generally-dogs	NR	N
4493	I like hamsters , and more generally bulldogs .	9	generally-dogs	NR*	N
4494	I like bulldogs , and more generally dogs .	9	generally-dogs	<	Y
4495	I like dogs , and more generally bulldogs .	9	generally-dogs	>	N
4496	I like bulldogs , and more generally parrots .	10	generally-dogs	NR	N
4497	I like parrots , and more generally bulldogs .	10	generally-dogs	NR*	N
4498	I like bulldogs , and more generally dogs .	10	generally-dogs	<	Y
4499	I like dogs , and more generally bulldogs .	10	generally-dogs	>	N
4500	I like bulldogs , and more generally birds .	11	generally-dogs	NR	N
4501	I like birds , and more generally bulldogs .	11	generally-dogs	NR*	N
4502	I like bulldogs , and more generally dogs .	11	generally-dogs	<	Y
4503	I like dogs , and more generally bulldogs .	11	generally-dogs	>	N
4504	I like beagles , and more generally cats .	12	generally-dogs	NR	N
4505	I like cats , and more generally beagles .	12	generally-dogs	NR*	N
4506	I like beagles , and more generally dogs .	12	generally-dogs	<	Y
4507	I like dogs , and more generally beagles .	12	generally-dogs	>	N
4508	I like beagles , and more generally hamsters .	13	generally-dogs	NR	N
4509	I like hamsters , and more generally beagles .	13	generally-dogs	NR*	N
4510	I like beagles , and more generally dogs .	13	generally-dogs	<	Y
4511	I like dogs , and more generally beagles .	13	generally-dogs	>	N
4512	I like beagles , and more generally parrots .	14	generally-dogs	NR	N
4513	I like parrots , and more generally beagles .	14	generally-dogs	NR*	N
4514	I like beagles , and more generally dogs .	14	generally-dogs	<	Y
4515	I like dogs , and more generally beagles .	14	generally-dogs	>	N
4516	I like beagles , and more generally birds .	15	generally-dogs	NR	N
4517	I like birds , and more generally beagles .	15	generally-dogs	NR*	N
4518	I like beagles , and more generally dogs .	15	generally-dogs	<	Y
4519	I like dogs , and more generally beagles .	15	generally-dogs	>	N
4520	I like parrots , and more generally cats .	0	generally-birds	NR	N
4521	I like cats , and more generally parrots .	0	generally-birds	NR*	N
4522	I like parrots , and more generally birds .	0	generally-birds	<	Y
4523	I like birds , and more generally parrots .	0	generally-birds	>	N
4524	I like parrots , and more generally hamsters .	1	generally-birds	NR	N
4525	I like hamsters , and more generally parrots .	1	generally-birds	NR*	N
4526	I like parrots , and more generally birds .	1	generally-birds	<	Y
4527	I like birds , and more generally parrots .	1	generally-birds	>	N
4528	I like parrots , and more generally pigs .	2	generally-birds	NR	N
4529	I like pigs , and more generally parrots .	2	generally-birds	NR*	N
4530	I like parrots , and more generally birds .	2	generally-birds	<	Y
4531	I like birds , and more generally parrots .	2	generally-birds	>	N
4532	I like parrots , and more generally dogs .	3	generally-birds	NR	N
4533	I like dogs , and more generally parrots .	3	generally-birds	NR*	N
4534	I like parrots , and more generally birds .	3	generally-birds	<	Y
4535	I like birds , and more generally parrots .	3	generally-birds	>	N
4536	I like ducks , and more generally cats .	4	generally-birds	NR	N
4537	I like cats , and more generally ducks .	4	generally-birds	NR*	N
4538	I like ducks , and more generally birds .	4	generally-birds	<	Y
4539	I like birds , and more generally ducks .	4	generally-birds	>	N
4540	I like ducks , and more generally hamsters .	5	generally-birds	NR	N
4541	I like hamsters , and more generally ducks .	5	generally-birds	NR*	N
4542	I like ducks , and more generally birds .	5	generally-birds	<	Y
4543	I like birds , and more generally ducks .	5	generally-birds	>	N
4544	I like ducks , and more generally pigs .	6	generally-birds	NR	N
4545	I like pigs , and more generally ducks .	6	generally-birds	NR*	N
4546	I like ducks , and more generally birds .	6	generally-birds	<	Y
4547	I like birds , and more generally ducks .	6	generally-birds	>	N
4548	I like ducks , and more generally dogs .	7	generally-birds	NR	N
4549	I like dogs , and more generally ducks .	7	generally-birds	NR*	N
4550	I like ducks , and more generally birds .	7	generally-birds	<	Y
4551	I like birds , and more generally ducks .	7	generally-birds	>	N
4552	I like blackbirds , and more generally cats .	8	generally-birds	NR	N
4553	I like cats , and more generally blackbirds .	8	generally-birds	NR*	N
4554	I like blackbirds , and more generally birds .	8	generally-birds	<	Y
4555	I like birds , and more generally blackbirds .	8	generally-birds	>	N
4556	I like blackbirds , and more generally hamsters .	9	generally-birds	NR	N
4557	I like hamsters , and more generally blackbirds .	9	generally-birds	NR*	N
4558	I like blackbirds , and more generally birds .	9	generally-birds	<	Y
4559	I like birds , and more generally blackbirds .	9	generally-birds	>	N
4560	I like blackbirds , and more generally pigs .	10	generally-birds	NR	N
4561	I like pigs , and more generally blackbirds .	10	generally-birds	NR*	N
4562	I like blackbirds , and more generally birds .	10	generally-birds	<	Y
4563	I like birds , and more generally blackbirds .	10	generally-birds	>	N
4564	I like blackbirds , and more generally dogs .	11	generally-birds	NR	N
4565	I like dogs , and more generally blackbirds .	11	generally-birds	NR*	N
4566	I like blackbirds , and more generally birds .	11	generally-birds	<	Y
4567	I like birds , and more generally blackbirds .	11	generally-birds	>	N
4568	I like sparrows , and more generally cats .	12	generally-birds	NR	N
4569	I like cats , and more generally sparrows .	12	generally-birds	NR*	N
4570	I like sparrows , and more generally birds .	12	generally-birds	<	Y
4571	I like birds , and more generally sparrows .	12	generally-birds	>	N
4572	I like sparrows , and more generally hamsters .	13	generally-birds	NR	N
4573	I like hamsters , and more generally sparrows .	13	generally-birds	NR*	N
4574	I like sparrows , and more generally birds .	13	generally-birds	<	Y
4575	I like birds , and more generally sparrows .	13	generally-birds	>	N
4576	I like sparrows , and more generally pigs .	14	generally-birds	NR	N
4577	I like pigs , and more generally sparrows .	14	generally-birds	NR*	N
4578	I like sparrows , and more generally birds .	14	generally-birds	<	Y
4579	I like birds , and more generally sparrows .	14	generally-birds	>	N
4580	I like sparrows , and more generally dogs .	15	generally-birds	NR	N
4581	I like dogs , and more generally sparrows .	15	generally-birds	NR*	N
4582	I like sparrows , and more generally birds .	15	generally-birds	<	Y
4583	I like birds , and more generally sparrows .	15	generally-birds	>	N
4584	I like cats , and more generally reptiles .	0	generally-mammals	NR	N
4585	I like reptiles , and more generally cats .	0	generally-mammals	NR*	N
4586	I like cats , and more generally mammals .	0	generally-mammals	<	Y
4587	I like mammals , and more generally cats .	0	generally-mammals	>	N
4588	I like cats , and more generally birds .	1	generally-mammals	NR	N
4589	I like birds , and more generally cats .	1	generally-mammals	NR*	N
4590	I like cats , and more generally mammals .	1	generally-mammals	<	Y
4591	I like mammals , and more generally cats .	1	generally-mammals	>	N
4592	I like cats , and more generally insects .	2	generally-mammals	NR	N
4593	I like insects , and more generally cats .	2	generally-mammals	NR*	N
4594	I like cats , and more generally mammals .	2	generally-mammals	<	Y
4595	I like mammals , and more generally cats .	2	generally-mammals	>	N
4596	I like cats , and more generally frogs .	3	generally-mammals	NR	N
4597	I like frogs , and more generally cats .	3	generally-mammals	NR*	N
4598	I like cats , and more generally mammals .	3	generally-mammals	<	Y
4599	I like mammals , and more generally cats .	3	generally-mammals	>	N
4600	I like dogs , and more generally reptiles .	4	generally-mammals	NR	N
4601	I like reptiles , and more generally dogs .	4	generally-mammals	NR*	N
4602	I like dogs , and more generally mammals .	4	generally-mammals	<	Y
4603	I like mammals , and more generally dogs .	4	generally-mammals	>	N
4604	I like dogs , and more generally birds .	5	generally-mammals	NR	N
